sum,incident_year,z_score
653690.53,2018,-0.6371595653365522
796012,2017,-0.20257994421444356
462500,2016,0.23199967690766504
697750,2015,0.6677699271287383
3339192.98,2014,1.102349548250847
14405997,2013,1.5369291693729554
1804396,2012,1.9715087904950641
9223115,2011,2.4072790407161375
2034905,2010,2.841858661838246
5410928,2009,3.276438282960355
4582780,2008,3.7110179040824636
7591500,2007,4.146788154303537
3651946,2006,4.581367775425646
8727740,2005,5.0159473965477535
6863462,2004,5.450527017669862
100000,2003,5.886297267890936
1035000,2002,6.320876889013045
